inflight_hi,bw_hi,inflight_lo,bw_lo,phase,cwnd,timestamp
82,80753456,69.0,71167112.0,PROBE_BW_CRUISE,69,1778047464000
82,80753456,64.0,63534072.0,PROBE_BW_CRUISE,64,1778047464124
82,80753456,70.0,74790648.0,PROBE_BW_CRUISE,70,1778047464249
82,80753456,64.0,64761712.0,PROBE_BW_CRUISE,64,1778047464374
82,80753456,66.0,66015584.0,PROBE_BW_CRUISE,66,1778047464499
82,80753456,62.0,61090536.0,PROBE_BW_CRUISE,62,1778047464624
82,80753456,70.0,75220800.0,PROBE_BW_CRUISE,70,1778047464749
82,80753456,62.0,60071416.0,PROBE_BW_CRUISE,62,1778047464874
82,80753456,54.0,53337360.0,PROBE_BW_CRUISE,54,1778047465000
75,76451896,61.0,59761400.0,PROBE_BW_CRUISE,61,1778047465045
75,76451896,57.0,55635896.0,PROBE_BW_CRUISE,57,1778047465090
75,76451896,74.0,74022856.0,PROBE_BW_CRUISE,64,1778047465136
75,76451896,60.0,61562120.0,PROBE_BW_CRUISE,60,1778047465181
82,80753456,58.0,56662616.0,PROBE_BW_CRUISE,58,1778047465227
75,76451896,63.0,61915632.0,PROBE_BW_CRUISE,63,1778047465272
75,76451896,,,PROBE_BW_DOWN,75,1778047465317
75,76451896,61.0,62200792.0,PROBE_BW_CRUISE,61,1778047465363
75,76036928,,,PROBE_BW_CRUISE,64,1778047465408
75,76451896,59.0,58139504.0,PROBE_BW_CRUISE,59,1778047465454
75,76451896,55.0,55569616.0,PROBE_BW_CRUISE,55,1778047465499
75,76451896,64.0,63677688.0,PROBE_BW_CRUISE,64,1778047465544
75,76451896,59.0,57102432.0,PROBE_BW_CRUISE,59,1778047465590
75,76451896,,,PROBE_BW_CRUISE,64,1778047465635
75,76451896,58.0,59938152.0,PROBE_BW_CRUISE,58,1778047465681
82,80753456,57.0,56585280.0,PROBE_BW_CRUISE,57,1778047465726
75,76451896,69.0,71421888.0,PROBE_BW_CRUISE,64,1778047465771
75,76451896,62.0,60472576.0,PROBE_BW_CRUISE,62,1778047465817
82,80753456,,,PROBE_BW_CRUISE,70,1778047465862
75,76451896,59.0,56034296.0,PROBE_BW_CRUISE,59,1778047465908
75,76451896,63.0,60353816.0,PROBE_BW_CRUISE,63,1778047465953
75,76451896,55.0,55925200.0,PROBE_BW_CRUISE,55,1778047466000
75,74022856,63.0,65363104.0,PROBE_BW_CRUISE,63,1778047466052
75,74022856,58.0,60757736.0,PROBE_BW_CRUISE,58,1778047466105
75,74022856,52.0,54184552.0,PROBE_BW_CRUISE,52,1778047466157
56,72595672,46.0,49013008.0,PROBE_BW_CRUISE,46,1778047466210
56,72595672,46.0,48401256.0,PROBE_BW_CRUISE,46,1778047466262
75,76451896,56.0,56882872.0,PROBE_BW_CRUISE,56,1778047466315
75,74022856,63.0,64210032.0,PROBE_BW_CRUISE,63,1778047466368
75,74022856,60.0,63054200.0,PROBE_BW_CRUISE,60,1778047466420
75,74022856,55.0,54732776.0,PROBE_BW_CRUISE,55,1778047466473
56,72595672,46.0,45474392.0,PROBE_BW_CRUISE,46,1778047466525
75,76451896,55.0,55541992.0,PROBE_BW_CRUISE,55,1778047466578
75,74022856,63.0,63683216.0,PROBE_BW_CRUISE,63,1778047466630
75,74022856,57.0,58092552.0,PROBE_BW_CRUISE,57,1778047466683
56,72595672,73.0,70279176.0,PROBE_BW_DOWN,56,1778047466736
75,74022856,63.0,65831232.0,PROBE_BW_CRUISE,63,1778047466788
75,74022856,58.0,61513784.0,PROBE_BW_CRUISE,58,1778047466841
75,74022856,57.0,57848136.0,PROBE_BW_CRUISE,57,1778047466893
56,72595672,46.0,49619920.0,PROBE_BW_CRUISE,46,1778047466946
56,72595672,41.0,41304016.0,PROBE_BW_CRUISE,41,1778047467000
56,69570768,43.0,42737408.0,PROBE_BW_CRUISE,43,1778047467049
56,69570768,,,PROBE_BW_REFILL,41,1778047467099
39,57674824,31.0,29341104.0,PROBE_BW_CRUISE,31,1778047467149
28,38610528,23.0,21184696.0,PROBE_BW_CRUISE,23,1778047467199
56,69570768,38.0,37730192.0,PROBE_BW_CRUISE,38,1778047467249
56,72595672,42.0,41573296.0,PROBE_BW_CRUISE,42,1778047467299
56,69570768,43.0,41979288.0,PROBE_BW_CRUISE,43,1778047467349
56,69570768,39.0,38560816.0,PROBE_BW_CRUISE,39,1778047467399
28,38610528,26.0,28512552.0,PROBE_BW_CRUISE,24,1778047467449
56,72595672,46.0,49619920.0,PROBE_BW_CRUISE,46,1778047467499
56,69570768,,,PROBE_BW_CRUISE,48,1778047467549
56,69570768,43.0,42745696.0,PROBE_BW_CRUISE,43,1778047467599
39,57674824,32.0,36692432.0,PROBE_BW_CRUISE,32,1778047467649
39,57674824,30.0,27664664.0,PROBE_BW_CRUISE,30,1778047467699
56,72595672,45.0,47132192.0,PROBE_BW_CRUISE,45,1778047467749
56,72595672,41.0,40550032.0,PROBE_BW_CRUISE,41,1778047467799
56,69570768,44.0,44907528.0,PROBE_BW_CRUISE,44,1778047467849
56,69570768,39.0,39003400.0,PROBE_BW_CRUISE,39,1778047467899
56,72595672,,,PROBE_BW_CRUISE,48,1778047467949
28,25332288,23.0,21892416.0,PROBE_BW_CRUISE,23,1778047468000
23,23685544,23.0,23112464.0,PROBE_BW_CRUISE,20,1778047468058
23,23112464,20.0,18517448.0,PROBE_BW_CRUISE,20,1778047468117
25,24926296,,,PROBE_BW_DOWN,25,1778047468176
25,24926296,,,PROBE_BW_REFILL,25,1778047468235
28,25332288,27.0,23770472.0,PROBE_BW_CRUISE,24,1778047468293
28,25332288,,,PROBE_BW_UP,28,1778047468352
23,23112464,,,PROBE_BW_CRUISE,20,1778047468411
23,21557544,,,PROBE_BW_UP,23,1778047468470
25,24926296,20.0,20365808.0,PROBE_BW_CRUISE,20,1778047468528
28,38610528,22.0,21119792.0,PROBE_BW_CRUISE,22,1778047468587
28,25332288,23.0,22928800.0,PROBE_BW_CRUISE,23,1778047468646
23,23112464,19.0,17317432.0,PROBE_BW_CRUISE,19,1778047468705
25,24926296,22.0,22035344.0,PROBE_BW_CRUISE,22,1778047468763
23,23685544,26.0,23112464.0,PROBE_BW_DOWN,23,1778047468822
28,21957320,,,PROBE_BW_UP,28,1778047468881
29,22829376,,,PROBE_BW_UP,29,1778047468940
23,22937088,20.0,18940704.0,PROBE_RTT,9,1778047469000
23,22937088,18.0,16127072.0,PROBE_BW_CRUISE,18,1778047469090
18,20655800,22.0,20655800.0,PROBE_BW_CRUISE,16,1778047469181
18,17424448,16.0,14676416.0,PROBE_BW_CRUISE,16,1778047469272
18,17424448,,,PROBE_BW_CRUISE,16,1778047469363
14,17209720,14.0,14681248.0,PROBE_BW_CRUISE,12,1778047469454
