inflight_hi,bw_hi,inflight_lo,bw_lo,phase,cwnd,timestamp
109,97747760,112.0,97747760.0,PROBE_BW_CRUISE,93,1778034560000
109,97747760,82.0,75354064.0,PROBE_BW_CRUISE,82,1778034561000
109,97747760,61.0,60491216.0,PROBE_BW_CRUISE,61,1778034561066
104,97217480,88.0,87881768.0,PROBE_BW_CRUISE,88,1778034561133
104,97217480,80.0,77482056.0,PROBE_BW_CRUISE,80,1778034561199
104,97217480,68.0,68018608.0,PROBE_BW_CRUISE,68,1778034561266
109,97747760,91.0,88726200.0,PROBE_BW_CRUISE,91,1778034561333
109,97747760,71.0,68880304.0,PROBE_BW_CRUISE,71,1778034561399
109,97747760,61.0,60344840.0,PROBE_BW_CRUISE,61,1778034561466
104,97217480,88.0,86673464.0,PROBE_BW_CRUISE,88,1778034561532
104,97217480,77.0,74309392.0,PROBE_BW_CRUISE,77,1778034561599
109,97747760,90.0,85907744.0,PROBE_BW_CRUISE,90,1778034561666
109,97747760,65.0,65611664.0,PROBE_BW_CRUISE,65,1778034561732
109,97747760,58.0,58921800.0,PROBE_BW_CRUISE,58,1778034561799
104,97217480,85.0,83387568.0,PROBE_BW_CRUISE,85,1778034561865
104,97217480,71.0,74283848.0,PROBE_BW_CRUISE,71,1778034561932
92,97217480,79.0,80473136.0,PROBE_BW_CRUISE,79,1778034562000
92,97217480,67.0,61403312.0,PROBE_BW_CRUISE,67,1778034562047
92,97217480,56.0,57223960.0,PROBE_BW_CRUISE,56,1778034562095
82,88245640,64.0,61567640.0,PROBE_BW_CRUISE,64,1778034562142
82,88245640,55.0,55783656.0,PROBE_BW_CRUISE,55,1778034562190
104,97217480,63.0,64803136.0,PROBE_BW_CRUISE,63,1778034562237
92,97217480,79.0,73973832.0,PROBE_BW_CRUISE,79,1778034562285
92,97217480,61.0,65198776.0,PROBE_BW_CRUISE,61,1778034562333
92,97217480,,,PROBE_BW_REFILL,58,1778034562380
82,88245640,58.0,57210144.0,PROBE_BW_CRUISE,58,1778034562428
104,97217480,62.0,62445216.0,PROBE_BW_CRUISE,62,1778034562475
92,97217480,72.0,72215920.0,PROBE_BW_CRUISE,72,1778034562523
92,97217480,61.0,60649328.0,PROBE_BW_CRUISE,61,1778034562570
92,97217480,,,PROBE_BW_DOWN,92,1778034562618
104,97217480,63.0,64332936.0,PROBE_BW_CRUISE,63,1778034562666
92,97217480,79.0,76177776.0,PROBE_BW_CRUISE,79,1778034562713
92,97217480,59.0,60241960.0,PROBE_BW_CRUISE,59,1778034562761
82,88245640,89.0,88245640.0,PROBE_BW_CRUISE,70,1778034562808
82,88245640,56.0,57394504.0,PROBE_BW_CRUISE,56,1778034562856
92,97217480,,,PROBE_BW_REFILL,54,1778034562903
92,97217480,54.0,55298952.0,PROBE_BW_CRUISE,54,1778034562951
82,88245640,,,PROBE_BW_DOWN,82,1778034563000
68,76294464,55.0,51270120.0,PROBE_BW_CRUISE,55,1778034563066
68,76294464,47.0,45172664.0,PROBE_BW_CRUISE,47,1778034563133
59,69830376,49.0,51210048.0,PROBE_BW_CRUISE,49,1778034563199
59,69830376,49.0,49208408.0,PROBE_BW_CRUISE,49,1778034563266
82,88245640,55.0,56789656.0,PROBE_BW_CRUISE,55,1778034563333
68,76294464,78.0,74116760.0,PROBE_BW_CRUISE,58,1778034563399
68,76294464,51.0,50100480.0,PROBE_BW_CRUISE,51,1778034563466
68,76294464,,,PROBE_BW_REFILL,57,1778034563532
59,69830376,49.0,50411880.0,PROBE_BW_CRUISE,49,1778034563599
82,88245640,54.0,55468120.0,PROBE_BW_CRUISE,54,1778034563666
68,76294464,50.0,53016296.0,PROBE_BW_CRUISE,50,1778034563732
59,76294464,,,PROBE_BW_CRUISE,51,1778034563799
68,76294464,58.0,61594568.0,PROBE_BW_CRUISE,58,1778034563865
59,69830376,66.0,66148848.0,PROBE_BW_CRUISE,51,1778034563932
59,58247216,51.0,51211432.0,PROBE_BW_CRUISE,51,1778034564000
59,58247216,50.0,51138928.0,PROBE_BW_CRUISE,50,1778034564066
57,57491856,,,PROBE_BW_CRUISE,49,1778034564133
57,57491856,48.0,46567392.0,PROBE_BW_CRUISE,48,1778034564199
59,69830376,47.0,47910336.0,PROBE_BW_CRUISE,47,1778034564266
59,58247216,49.0,49847768.0,PROBE_BW_CRUISE,49,1778034564333
59,58247216,49.0,48613920.0,PROBE_BW_CRUISE,49,1778034564399
57,57491856,47.0,47746704.0,PROBE_BW_CRUISE,47,1778034564466
57,57491856,46.0,45972904.0,PROBE_BW_CRUISE,46,1778034564532
59,69830376,45.0,47299280.0,PROBE_BW_CRUISE,45,1778034564599
59,58247216,50.0,51796248.0,PROBE_BW_CRUISE,50,1778034564666
59,58247216,47.0,47542320.0,PROBE_BW_CRUISE,47,1778034564732
57,57491856,48.0,47476040.0,PROBE_BW_CRUISE,48,1778034564799
57,57491856,44.0,43515560.0,PROBE_BW_CRUISE,44,1778034564865
59,69830376,44.0,45326640.0,PROBE_BW_CRUISE,44,1778034564932
57,57491856,,,PROBE_BW_CRUISE,49,1778034565000
55,56058464,41.0,41136928.0,PROBE_BW_CRUISE,41,1778034565076
36,50010032,48.0,46777984.0,PROBE_BW_CRUISE,31,1778034565153
36,50010032,28.0,27289056.0,PROBE_BW_CRUISE,28,1778034565230
34,35543504,28.0,25341264.0,PROBE_BW_CRUISE,28,1778034565307
55,56058464,44.0,47724608.0,PROBE_BW_CRUISE,44,1778034565384
55,56058464,41.0,39771192.0,PROBE_BW_CRUISE,41,1778034565461
34,50010032,,,PROBE_BW_CRUISE,29,1778034565537
34,35543504,26.0,24208224.0,PROBE_BW_CRUISE,26,1778034565614
55,56058464,44.0,43374704.0,PROBE_BW_CRUISE,44,1778034565691
55,56058464,40.0,38736192.0,PROBE_BW_CRUISE,40,1778034565768
36,50010032,33.0,32890760.0,PROBE_BW_CRUISE,31,1778034565845
34,35543504,,,PROBE_BW_CRUISE,29,1778034565922
34,33251872,29.0,28449024.0,PROBE_BW_CRUISE,29,1778034566000
34,32352888,,,PROBE_BW_CRUISE,29,1778034566071
34,32352888,27.0,23633760.0,PROBE_BW_CRUISE,27,1778034566142
27,28615432,22.0,20236000.0,PROBE_BW_CRUISE,22,1778034566214
29,28067200,24.0,21142576.0,PROBE_BW_CRUISE,24,1778034566285
34,33251872,28.0,26684904.0,PROBE_BW_CRUISE,28,1778034566356
34,32352888,28.0,26669712.0,PROBE_BW_CRUISE,28,1778034566428
27,28615432,32.0,27560408.0,PROBE_BW_CRUISE,23,1778034566499
27,28615432,,,PROBE_BW_CRUISE,23,1778034566570
29,28067200,23.0,20084104.0,PROBE_BW_CRUISE,23,1778034566642
29,28067200,,,PROBE_BW_CRUISE,25,1778034566713
29,28067200,23.0,19936344.0,PROBE_BW_CRUISE,23,1778034566784
27,28615432,22.0,23389336.0,PROBE_BW_CRUISE,22,1778034566856
29,26682144,,,PROBE_BW_DOWN,29,1778034566927
26,25533216,22.0,21260648.0,PROBE_BW_CRUISE,22,1778034567000
20,23959656,25.0,23745616.0,PROBE_BW_CRUISE,18,1778034567062
20,18801920,,,PROBE_BW_CRUISE,18,1778034567124
22,20484568,,,PROBE_BW_CRUISE,19,1778034567187
15,18221928,20.0,16765752.0,PROBE_BW_CRUISE,13,1778034567249
26,25533216,22.0,19578688.0,PROBE_BW_CRUISE,22,1778034567312
20,23959656,18.0,17909152.0,PROBE_BW_CRUISE,18,1778034567374
20,18801920,17.0,15185976.0,PROBE_BW_CRUISE,17,1778034567437
22,20484568,19.0,17785560.0,PROBE_BW_CRUISE,19,1778034567499
15,18221928,14.0,11930456.0,PROBE_BW_CRUISE,13,1778034567561
26,25533216,21.0,20234624.0,PROBE_BW_CRUISE,21,1778034567624
20,18801920,17.0,15388280.0,PROBE_BW_CRUISE,17,1778034567686
22,20484568,18.0,16575872.0,PROBE_BW_CRUISE,18,1778034567749
15,18221928,,,PROBE_BW_UP,15,1778034567811
15,18221928,,,PROBE_BW_DOWN,15,1778034567874
15,18221928,,,PROBE_BW_REFILL,15,1778034567936
13,14331192,14.0,12335064.0,PROBE_BW_CRUISE,12,1778034568000
11,11455424,,,PROBE_BW_REFILL,11,1778034568055
11,9707176,10.0,9676104.0,PROBE_BW_CRUISE,10,1778034568111
11,9707176,,,PROBE_BW_CRUISE,10,1778034568166
11,9582896,10.0,8936624.0,PROBE_BW_CRUISE,10,1778034568222
13,14331192,,,PROBE_BW_REFILL,13,1778034568277
11,10696608,,,PROBE_BW_CRUISE,10,1778034568333
11,9707176,9.0,8339376.0,PROBE_BW_CRUISE,9,1778034568388
11,10486016,,,PROBE_BW_CRUISE,10,1778034568444
11,9741696,,,PROBE_BW_CRUISE,10,1778034568499
13,12796296,,,PROBE_BW_REFILL,13,1778034568555
11,10696608,10.0,9692680.0,PROBE_BW_CRUISE,10,1778034568610
10,9707176,,,PROBE_BW_CRUISE,9,1778034568666
11,10486016,8.0,7523248.0,PROBE_BW_CRUISE,8,1778034568721
