inflight_hi,bw_hi,inflight_lo,bw_lo,phase,cwnd,timestamp
22,21248216,17.0,17697184.0,PROBE_BW_CRUISE,17,1778088434000
19,21248216,15.0,14990576.0,PROBE_BW_CRUISE,15,1778088434199
14,17392000,,,PROBE_BW_REFILL,14,1778088434399
13,13011720,,,PROBE_BW_CRUISE,12,1778088434599
14,17392000,,,PROBE_BW_DOWN,14,1778088434799
13,12261880,,,PROBE_BW_CRUISE,12,1778088435000
12,11694320,12.0,9769320.0,PROBE_BW_CRUISE,11,1778088435083
10,11501680,,,PROBE_BW_CRUISE,9,1778088435166
16,14365712,13.0,11789608.0,PROBE_BW_CRUISE,13,1778088435249
15,15120384,,,PROBE_BW_REFILL,15,1778088435333
12,11694320,,,PROBE_BW_REFILL,12,1778088435416
13,10178072,,,PROBE_BW_UP,13,1778088435499
16,13785032,,,PROBE_BW_REFILL,16,1778088435582
15,14538328,,,PROBE_BW_CRUISE,13,1778088435666
10,10178072,,,PROBE_BW_UP,10,1778088435749
16,14365712,,,PROBE_BW_REFILL,16,1778088435832
15,15120384,,,PROBE_BW_CRUISE,13,1778088435915
13,13517136,13.0,12558776.0,PROBE_BW_CRUISE,12,1778088436000
12,12730008,11.0,10249880.0,PROBE_BW_CRUISE,11,1778088436099
12,11261400,,,PROBE_BW_CRUISE,11,1778088436199
16,16234784,14.0,12212168.0,PROBE_BW_CRUISE,14,1778088436299
16,14597704,,,PROBE_BW_CRUISE,14,1778088436399
12,12730008,11.0,10027552.0,PROBE_BW_CRUISE,11,1778088436499
14,11373944,,,PROBE_BW_UP,14,1778088436599
16,15355832,,,PROBE_BW_CRUISE,14,1778088436699
12,11285568,,,PROBE_BW_REFILL,12,1778088436799
16,16234784,,,PROBE_BW_REFILL,16,1778088436899
16,14204832,14.0,12435872.0,PROBE_BW_CRUISE,14,1778088437000
16,14254544,13.0,12172120.0,PROBE_BW_CRUISE,13,1778088437076
12,11414688,10.0,9248016.0,PROBE_BW_CRUISE,10,1778088437153
14,10488088,,,PROBE_BW_UP,14,1778088437230
10,9512464,9.0,8672864.0,PROBE_BW_CRUISE,9,1778088437307
16,14204832,13.0,11171640.0,PROBE_BW_CRUISE,13,1778088437384
12,12846696,15.0,12846696.0,PROBE_BW_CRUISE,11,1778088437461
12,11414688,,,PROBE_BW_REFILL,12,1778088437537
11,10777392,11.0,10777392.0,PROBE_BW_CRUISE,10,1778088437614
9,8672864,9.0,8306232.0,PROBE_BW_CRUISE,8,1778088437691
16,14254544,,,PROBE_BW_REFILL,16,1778088437768
11,10777392,12.0,10777392.0,PROBE_BW_CRUISE,10,1778088437845
10,9512464,,,PROBE_BW_REFILL,10,1778088437922
23,13007576,,,PROBE_BW_UP,23,1778088438000
14,12740368,,,PROBE_BW_CRUISE,12,1778088438076
13,13343832,12.0,12410328.0,PROBE_BW_CRUISE,12,1778088438153
10,9654704,,,PROBE_BW_UP,10,1778088438230
14,12143120,,,PROBE_BW_UP,14,1778088438307
14,15570568,18.0,15570568.0,PROBE_BW_CRUISE,12,1778088438384
13,13343832,,,PROBE_BW_REFILL,13,1778088438461
12,11157832,,,PROBE_BW_CRUISE,11,1778088438537
14,13741536,14.0,12551872.0,PROBE_BW_CRUISE,12,1778088438614
