inflight_hi,bw_hi,inflight_lo,bw_lo,phase,cwnd,timestamp
71,87078072,,,PROBE_BW_CRUISE,61,1778261069000
71,86070696,59.0,61789968.0,PROBE_BW_CRUISE,59,1778261069499
71,86070696,57.0,59449312.0,PROBE_BW_CRUISE,57,1778261070000
71,86070696,48.0,51002912.0,PROBE_BW_CRUISE,48,1778261070099
71,74695360,58.0,47804696.0,PROBE_BW_CRUISE,58,1778261070199
71,74695360,49.0,41893672.0,PROBE_BW_CRUISE,49,1778261070299
47,71410840,40.0,40066024.0,PROBE_BW_CRUISE,40,1778261070399
71,86070696,54.0,56094360.0,PROBE_BW_CRUISE,54,1778261070499
71,86070696,48.0,48162360.0,PROBE_BW_CRUISE,48,1778261070599
71,74695360,49.0,47818504.0,PROBE_BW_CRUISE,49,1778261070699
71,74695360,48.0,40981568.0,PROBE_BW_CRUISE,48,1778261070799
47,71410840,39.0,39498464.0,PROBE_BW_CRUISE,39,1778261070899
47,71410840,38.0,36026832.0,PROBE_BW_CRUISE,38,1778261071000
41,43871840,33.0,31766000.0,PROBE_BW_CRUISE,33,1778261071111
41,43871840,,,PROBE_BW_CRUISE,35,1778261071222
40,38448272,32.0,28620264.0,PROBE_BW_CRUISE,32,1778261071333
30,38561504,27.0,27112984.0,PROBE_BW_CRUISE,26,1778261071444
47,71410840,36.0,35676768.0,PROBE_BW_CRUISE,36,1778261071555
41,43871840,32.0,32369464.0,PROBE_BW_CRUISE,32,1778261071666
40,38448272,39.0,38448272.0,PROBE_BW_CRUISE,35,1778261071777
40,38448272,31.0,28588504.0,PROBE_BW_CRUISE,31,1778261071888
30,30378864,,,PROBE_BW_REFILL,30,1778261072000
26,28246720,21.0,20908512.0,PROBE_BW_CRUISE,21,1778261072099
25,23019936,22.0,21093552.0,PROBE_BW_CRUISE,22,1778261072199
20,23019936,17.0,17558400.0,PROBE_BW_CRUISE,17,1778261072299
27,26935536,23.0,22359856.0,PROBE_BW_CRUISE,23,1778261072399
26,28246720,26.0,28246720.0,PROBE_BW_CRUISE,23,1778261072499
26,28246720,,,PROBE_BW_REFILL,26,1778261072599
25,23019936,21.0,20614376.0,PROBE_BW_CRUISE,21,1778261072699
20,23019936,16.0,15926152.0,PROBE_BW_CRUISE,16,1778261072799
27,26935536,22.0,21770896.0,PROBE_BW_CRUISE,22,1778261072899
23,24453336,26.0,24453336.0,PROBE_BW_CRUISE,20,1778261073000
23,22992320,19.0,18214336.0,PROBE_BW_CRUISE,19,1778261073111
23,24050104,27.0,23205672.0,PROBE_BW_CRUISE,20,1778261073222
23,22558024,,,PROBE_BW_CRUISE,20,1778261073333
20,21014152,22.0,20674448.0,PROBE_BW_CRUISE,18,1778261073444
23,24453336,19.0,19505496.0,PROBE_BW_CRUISE,19,1778261073555
23,22992320,18.0,18288904.0,PROBE_BW_CRUISE,18,1778261073666
23,24050104,22.0,20060624.0,PROBE_BW_CRUISE,20,1778261073777
20,21014152,18.0,16868632.0,PROBE_BW_CRUISE,18,1778261073888
20,21168128,19.0,19653256.0,PROBE_BW_CRUISE,18,1778261074000
20,19829320,,,PROBE_RTT,9,1778261074111
20,19829320,17.0,14309096.0,PROBE_BW_CRUISE,17,1778261074222
27,25742424,26.0,25742424.0,PROBE_BW_CRUISE,23,1778261074333
25,24419504,,,PROBE_BW_CRUISE,22,1778261074444
20,21168128,17.0,16148480.0,PROBE_BW_CRUISE,17,1778261074555
20,19829320,17.0,16104984.0,PROBE_BW_CRUISE,17,1778261074666
27,25742424,22.0,21056960.0,PROBE_BW_CRUISE,22,1778261074777
25,24419504,26.0,24262768.0,PROBE_BW_CRUISE,22,1778261074888
19,21768824,,,PROBE_BW_CRUISE,17,1778261075000
17,19482024,14.0,13698040.0,PROBE_BW_CRUISE,14,1778261075111
14,14603232,,,PROBE_BW_REFILL,14,1778261075222
16,18957960,23.0,18957960.0,PROBE_BW_CRUISE,14,1778261075333
27,24885560,22.0,20175240.0,PROBE_BW_CRUISE,22,1778261075444
19,21768824,23.0,20530832.0,PROBE_BW_CRUISE,17,1778261075555
14,13450160,,,PROBE_BW_UP,14,1778261075666
16,18957960,,,PROBE_BW_REFILL,16,1778261075777
27,24885560,22.0,20276048.0,PROBE_BW_CRUISE,22,1778261075888
27,24072888,26.0,24011440.0,PROBE_BW_CRUISE,23,1778261076000
25,24072888,26.0,22419928.0,PROBE_BW_CRUISE,22,1778261076124
23,22598072,,,PROBE_BW_CRUISE,20,1778261076249
21,21834416,22.0,21186768.0,PROBE_BW_CRUISE,18,1778261076374
19,17795920,19.0,17795920.0,PROBE_BW_CRUISE,17,1778261076499
25,24072888,21.0,20068224.0,PROBE_BW_CRUISE,21,1778261076624
