rtt_ms,bw_mbit,loss_pct,buf_bytes,bbrv2_sender_mbps,bbrv2_receiver_mbps,bbrv3_sender_mbps,bbrv3_receiver_mbps,sender_diff_mbps,sender_diff_pct,receiver_diff_mbps,receiver_diff_pct,winner
10,300,0,100000,135.874056,135.460621,102.477472,101.969458,-33.396584,-24.579074,-33.491164,-24.723911,bbrv2
10,300,0,2000000,281.798995,281.371699,281.225983,280.630034,-0.573012,-0.203341,-0.741665,-0.263589,bbrv2
10,300,0,10000000,281.938797,281.413890,281.138645,280.600924,-0.800153,-0.283804,-0.812966,-0.288886,bbrv2
10,300,0,50000000,281.763912,281.402591,281.274390,280.599176,-0.489522,-0.173735,-0.803416,-0.285504,bbrv2
10,300,0,100000000,281.938544,281.436719,281.134751,280.594340,-0.803793,-0.285095,-0.842379,-0.299314,bbrv2
10,300,1,100000,135.682037,135.267577,49.141729,48.617966,-86.540308,-63.781698,-86.649611,-64.057931,bbrv2
10,300,1,2000000,278.041656,277.645128,220.281369,219.724022,-57.760287,-20.773969,-57.921106,-20.861560,bbrv2
10,300,1,10000000,280.352307,279.799573,209.972651,209.423132,-70.379656,-25.104005,-70.376441,-25.152448,bbrv2
10,300,1,50000000,279.789163,279.335745,214.551495,213.964851,-65.237668,-23.316724,-65.370895,-23.402266,bbrv2
10,300,1,100000000,280.054009,279.631906,211.248996,210.751483,-68.805013,-24.568480,-68.880422,-24.632533,bbrv2
10,300,2,100000,133.760904,133.239759,17.423262,17.068936,-116.337642,-86.974324,-116.170824,-87.189308,bbrv2
10,300,2,2000000,280.645262,280.238573,24.361052,23.977209,-256.284211,-91.319628,-256.261364,-91.444001,bbrv2
10,300,2,10000000,274.669178,274.277248,27.209594,26.788763,-247.459583,-90.093685,-247.488484,-90.232962,bbrv2
10,300,2,50000000,278.866733,278.420802,34.584373,34.053488,-244.282360,-87.598244,-244.367314,-87.769058,bbrv2
10,300,2,100000000,279.771864,279.378584,19.572805,19.139958,-260.199060,-93.004012,-260.238625,-93.149096,bbrv2
10,500,0,100000,136.922789,136.396893,102.687259,102.161502,-34.235530,-25.003530,-34.235391,-25.099832,bbrv2
10,500,0,2000000,469.276932,468.910165,468.231296,467.486348,-1.045636,-0.222818,-1.423817,-0.303644,bbrv2
10,500,0,10000000,469.189224,468.823563,470.056379,469.295926,0.867155,0.184820,0.472364,0.100755,bbrv3
10,500,0,50000000,469.364225,468.880642,468.948276,468.340096,-0.415948,-0.088620,-0.540546,-0.115284,bbrv2
10,500,0,100000000,469.385244,468.863012,468.144081,467.454420,-1.241164,-0.264423,-1.408591,-0.300427,bbrv2
10,500,1,100000,136.206079,135.704013,76.246402,75.878633,-59.959677,-44.021293,-59.825380,-44.085196,bbrv2
10,500,1,2000000,472.265218,471.800036,364.988763,364.329738,-107.276455,-22.715299,-107.470299,-22.778781,bbrv2
10,500,1,10000000,468.577877,468.129370,363.603066,363.015570,-104.974812,-22.402853,-105.113801,-22.454007,bbrv2
10,500,1,50000000,468.616312,468.240870,357.456907,356.822046,-111.159405,-23.720772,-111.418823,-23.795194,bbrv2
10,500,1,100000000,467.843224,467.371117,295.656842,295.117455,-172.186382,-36.804291,-172.253662,-36.855864,bbrv2
10,500,2,100000,135.944122,135.424033,23.085376,22.597641,-112.858746,-83.018482,-112.826392,-83.313419,bbrv2
10,500,2,2000000,462.453970,462.047276,24.920339,24.536193,-437.533631,-94.611282,-437.511083,-94.689679,bbrv2
10,500,2,10000000,466.082633,465.584950,16.759170,16.521711,-449.323463,-96.404249,-449.063240,-96.451408,bbrv2
10,500,2,50000000,467.470483,466.944008,39.949212,39.502080,-427.521272,-91.454175,-427.441928,-91.540296,bbrv2
10,500,2,100000000,465.595208,465.058592,41.539759,41.056647,-424.055449,-91.078139,-424.001945,-91.171726,bbrv2
10,1000,0,100000,137.344018,136.808094,100.380427,99.926193,-36.963591,-26.913142,-36.881900,-26.958858,bbrv2
10,1000,0,2000000,923.313548,922.757137,927.531783,926.620207,4.218235,0.456858,3.863070,0.418644,bbrv3
10,1000,0,10000000,923.160015,922.692152,927.372032,926.487719,4.212017,0.456261,3.795568,0.411358,bbrv3
10,1000,0,50000000,923.129495,922.738881,925.600245,924.647541,2.470751,0.267649,1.908660,0.206847,bbrv3
10,1000,0,100000000,923.142863,922.644027,925.151882,924.130126,2.009019,0.217628,1.486099,0.161070,bbrv3
10,1000,1,100000,137.309215,136.779429,57.687320,57.157679,-79.621895,-57.987292,-79.621750,-58.211787,bbrv2
10,1000,1,2000000,881.802649,881.417900,679.717826,679.044443,-202.084823,-22.917239,-202.373457,-22.959990,bbrv2
