inflight_hi,inflight_lo,bw_hi,bw_lo,phase,version,cwnd,timestamp
85,70,19618040,15668608,PROBE_BW_CRUISE,2,70,1778035837000
85,69,19618040,15154904,PROBE_BW_CRUISE,2,69,1778035838000
85,63,19618040,13490896,PROBE_BW_CRUISE,2,63,1778035839000
80,68,18125264,14750296,PROBE_BW_CRUISE,2,68,1778035840000
80,66,18125264,14202072,PROBE_BW_CRUISE,2,66,1778035841000
80,62,18125264,13687680,PROBE_BW_CRUISE,2,62,1778035842071
79,64,17601208,14032216,PROBE_BW_CRUISE,2,64,1778035843000
79,61,17601208,13555112,PROBE_BW_CRUISE,2,61,1778035844000
79,59,17601208,12693416,PROBE_BW_CRUISE,2,59,1778035845000
74,63,16819608,13602064,PROBE_BW_CRUISE,2,62,1778035846000
74,62,16819608,13571680,PROBE_BW_CRUISE,2,62,1778035847000
74,63,16045600,13624848,PROBE_BW_CRUISE,2,63,1778035848000
74,59,16045600,12527016,PROBE_BW_CRUISE,2,59,1778035849000
74,55,16045600,12136216,PROBE_BW_CRUISE,2,55,1778035850000
73,62,15773560,13371448,PROBE_BW_CRUISE,2,62,1778035851000
73,61,15773560,13244400,PROBE_BW_CRUISE,2,61,1778035852000
68,70,15426256,15162504,PROBE_BW_CRUISE,2,58,1778035853000
68,53,15426256,11586608,PROBE_BW_CRUISE,2,53,1778035854000
68,50,15426256,10923080,PROBE_BW_CRUISE,2,50,1778035855000
68,58,15094144,12634040,PROBE_BW_CRUISE,2,58,1778035856000
68,53,15094144,11487184,PROBE_BW_CRUISE,2,53,1778035857000
56,65,14246952,14246952,PROBE_BW_CRUISE,2,48,1778035858000
56,46,14246952,9828696,PROBE_BW_CRUISE,2,46,1778035859000
56,43,14246952,9233520,PROBE_BW_CRUISE,2,43,1778035860000
56,47,14075720,10082784,PROBE_BW_CRUISE,2,47,1778035861000
56,44,14075720,9642272,PROBE_BW_CRUISE,2,44,1778035862000
56,45,12323328,9981288,PROBE_BW_CRUISE,2,45,1778035863000
56,42,12323328,9102336,PROBE_BW_CRUISE,2,42,1778035864000
40,35,11960840,7615080,PROBE_BW_CRUISE,2,35,1778035865000
40,32,11960840,7006784,PROBE_BW_CRUISE,2,32,1778035866000
40,33,8664584,7044760,PROBE_BW_CRUISE,2,33,1778035867000
36,31,8349728,6712648,PROBE_BW_CRUISE,2,31,1778035868000
38,37,9886696,8221304,PROBE_BW_CRUISE,2,33,1778035869047
38,33,9886696,7341656,PROBE_BW_CRUISE,2,33,1778035870000
38,32,9886696,6830720,PROBE_BW_CRUISE,2,32,1778035871000
33,26,8205424,5806072,PROBE_BW_CRUISE,2,26,1778035872000
33,20,8205424,4271184,PROBE_BW_CRUISE,2,20,1778035873000
31,27,7297472,5895144,PROBE_BW_CRUISE,2,27,1778035874000
29,30,6673296,6598728,PROBE_BW_CRUISE,2,25,1778035875000
29,22,6673296,4880856,PROBE_BW_CRUISE,2,22,1778035876000
22,25,5301352,5301352,PROBE_BW_CRUISE,2,19,1778035877000
22,19,5301352,4075096,PROBE_BW_CRUISE,2,19,1778035878000
24,25,5309632,5309632,PROBE_BW_CRUISE,2,21,1778035879111
24,21,5309632,4657840,PROBE_BW_CRUISE,2,21,1778035880000
24,23,5011360,5007904,PROBE_BW_CRUISE,2,21,1778035881000
23,18,5097664,4015712,PROBE_BW_CRUISE,2,18,1778035882000
20,22,4677176,4677176,PROBE_BW_CRUISE,2,18,1778035883000
16,16,4233896,3549648,PROBE_BW_CRUISE,2,14,1778035884000
16,13,3480608,2792904,PROBE_BW_CRUISE,2,13,1778035885000
23,20,4610200,4180040,PROBE_BW_CRUISE,2,20,1778035886000
24,25,5551296,5551296,PROBE_BW_CRUISE,2,21,1778035887033
24,18,5551296,3973592,PROBE_BW_CRUISE,2,18,1778035888000
22,19,5284088,3988096,PROBE_BW_CRUISE,2,19,1778035889000
21,17,4609512,3539984,PROBE_BW_CRUISE,2,17,1778035890000
21,18,4399608,3954952,PROBE_BW_CRUISE,2,18,1778035891000
18,15,4300184,3343896,PROBE_BW_CRUISE,2,15,1778035892000
18,15,4300184,3323872,PROBE_BW_CRUISE,2,15,1778035893000
18,16,3982568,3552416,PROBE_BW_CRUISE,2,16,1778035894000
16,17,3684288,3629744,PROBE_BW_CRUISE,2,14,1778035895000
16,14,3483368,2949640,PROBE_BW_CRUISE,2,14,1778035896000
15,13,3297632,2870240,PROBE_BW_CRUISE,2,13,1778035897000
13,14,2890264,2839856,PROBE_BW_CRUISE,2,12,1778035898000
11,12,2643080,2590600,PROBE_BW_CRUISE,2,10,1778035899000
