inflight_hi,inflight_lo,bw_hi,bw_lo,phase,version,cwnd,timestamp
755,419,96295720,94180840,PROBE_BW_CRUISE,3,419,1778057704000
755,331,96295720,73266112,PROBE_BW_CRUISE,3,331,1778057705000
755,283,96295720,62872608,PROBE_BW_CRUISE,3,283,1778057706062
343,253,94997656,56354664,PROBE_BW_CRUISE,3,253,1778057707000
343,221,94997656,49326472,PROBE_BW_CRUISE,3,221,1778057708000
343,206,76153616,53545184,PROBE_BW_CRUISE,3,206,1778057709000
343,202,76153616,44042384,PROBE_BW_CRUISE,3,202,1778057710000
343,173,76153616,38379224,PROBE_BW_CRUISE,3,173,1778057711000
232,175,73765312,38547008,PROBE_BW_CRUISE,3,175,1778057712000
232,159,73765312,34371792,PROBE_BW_CRUISE,3,159,1778057713000
232,124,51944696,27423696,PROBE_RTT,3,60,1778057714000
232,145,51944696,30771048,PROBE_BW_CRUISE,3,145,1778057715000
232,126,51944696,27161320,PROBE_BW_CRUISE,3,126,1778057716000
229,187,49793912,40614248,PROBE_BW_CRUISE,3,187,1778057717000
229,165,49793912,36592312,PROBE_BW_CRUISE,3,165,1778057718000
229,142,49793912,31701784,PROBE_BW_CRUISE,3,142,1778057719000
229,147,49793912,32132632,PROBE_BW_CRUISE,3,147,1778057720000
229,126,49793912,26985256,PROBE_BW_CRUISE,3,126,1778057721000
229,116,49793912,25486952,PROBE_BW_CRUISE,3,116,1778057722021
226,156,48451656,34337272,PROBE_BW_CRUISE,3,156,1778057723000
226,137,48451656,29910736,PROBE_BW_CRUISE,3,137,1778057724000
215,171,45981192,37498888,PROBE_BW_CRUISE,3,171,1778057725000
215,164,45981192,36024064,PROBE_BW_CRUISE,3,164,1778057726000
215,144,45981192,31433200,PROBE_BW_CRUISE,3,144,1778057727000
211,148,44832264,32389488,PROBE_BW_CRUISE,3,148,1778057728000
211,141,44832264,30789000,PROBE_BW_CRUISE,3,141,1778057729000
211,122,44832264,26852680,PROBE_BW_CRUISE,3,122,1778057730000
210,171,44994528,37036968,PROBE_BW_CRUISE,3,171,1778057731000
210,141,44994528,30697168,PROBE_BW_CRUISE,3,141,1778057732000
210,123,44994528,27435432,PROBE_BW_CRUISE,3,123,1778057733000
138,117,43960216,26090416,PROBE_BW_CRUISE,3,117,1778057734000
138,106,43960216,23068272,PROBE_BW_CRUISE,3,106,1778057735000
135,135,30661264,29903824,PROBE_BW_CRUISE,3,115,1778057736000
135,106,30661264,23617880,PROBE_BW_CRUISE,3,106,1778057737000
135,98,30661264,21263408,PROBE_BW_CRUISE,3,98,1778057738000
135,87,30661264,19059456,PROBE_BW_CRUISE,3,87,1778057739000
135,112,29903824,24302816,PROBE_BW_CRUISE,3,112,1778057740000
135,103,29903824,22697496,PROBE_BW_CRUISE,3,103,1778057741000
125,106,29903824,22898416,PROBE_BW_CRUISE,3,104,1778057742000
125,83,29903824,18313072,PROBE_BW_CRUISE,3,83,1778057743000
125,78,29903824,17253216,PROBE_BW_CRUISE,3,78,1778057744000
125,103,28866760,22269408,PROBE_BW_CRUISE,3,103,1778057745000
125,92,28866760,20161432,PROBE_BW_CRUISE,3,92,1778057746000
120,102,26981112,22424760,PROBE_RTT,3,49,1778057747000
120,96,26981112,20784920,PROBE_BW_CRUISE,3,96,1778057748000
120,85,26981112,18769464,PROBE_BW_CRUISE,3,85,1778057749000
120,102,26491576,22230056,PROBE_BW_CRUISE,3,102,1778057750000
120,93,26491576,20434856,PROBE_BW_CRUISE,3,93,1778057751000
120,84,26491576,18536088,PROBE_BW_CRUISE,3,84,1778057752011
117,68,25659568,15132816,PROBE_BW_CRUISE,3,68,1778057753000
117,67,25659568,14656392,PROBE_BW_CRUISE,3,67,1778057754000
117,64,25659568,14014960,PROBE_BW_CRUISE,3,64,1778057755000
117,94,25827352,20557064,PROBE_BW_CRUISE,3,94,1778057756000
117,87,25827352,18839896,PROBE_BW_CRUISE,3,87,1778057757000
95,113,25103056,24455408,PROBE_BW_DOWN,3,95,1778057758000
95,76,25103056,16709824,PROBE_BW_CRUISE,3,76,1778057759000
95,71,25103056,15420040,PROBE_BW_CRUISE,3,71,1778057760000
95,62,25103056,13438424,PROBE_BW_CRUISE,3,62,1778057761000
67,57,24455408,12472472,PROBE_BW_CRUISE,3,57,1778057762000
67,54,24455408,11565896,PROBE_BW_CRUISE,3,54,1778057763000
67,54,14846272,11804792,PROBE_BW_CRUISE,3,54,1778057764000
67,53,14846272,11322160,PROBE_BW_CRUISE,3,53,1778057765000
67,50,14846272,10833320,PROBE_BW_CRUISE,3,50,1778057766000
63,65,14202072,14202072,PROBE_BW_CRUISE,3,54,1778057767000
63,51,14202072,10929288,PROBE_BW_CRUISE,3,51,1778057768000
63,48,14202072,10829176,PROBE_BW_CRUISE,3,48,1778057769000
63,37,13757416,9672656,PROBE_BW_CRUISE,3,37,1778057770000
63,35,13757416,7246376,PROBE_BW_CRUISE,3,35,1778057771000
61,48,12977192,10737344,PROBE_BW_CRUISE,3,48,1778057772000
61,47,12977192,10316160,PROBE_BW_CRUISE,3,47,1778057773000
61,51,13405280,11138504,PROBE_BW_CRUISE,3,51,1778057774000
61,50,13405280,10808464,PROBE_BW_CRUISE,3,50,1778057775000
61,46,13405280,10232616,PROBE_BW_CRUISE,3,46,1778057776000
61,48,13405280,10475656,PROBE_BW_CRUISE,3,48,1778057777000
61,45,13405280,9526968,PROBE_BW_CRUISE,3,45,1778057778000
