inflight_hi,inflight_lo,bw_hi,bw_lo,phase,version,cwnd,timestamp
18,16,19865224,14938104,PROBE_BW_CRUISE,2,16,1778032021000
17,17,17220072,17220072,PROBE_BW_CRUISE,2,15,1778032022000
11,10,9791416,9488304,PROBE_BW_CRUISE,2,10,1778032023000
11,12,10496376,10457704,PROBE_BW_CRUISE,2,10,1778032024499
19,17,15445592,14277336,PROBE_BW_CRUISE,2,17,1778032025249
19,16,18926888,15343400,PROBE_BW_CRUISE,2,16,1778032026000
12,11,11589368,11589368,PROBE_BW_CRUISE,2,11,1778032027333
15,13,13321048,12286736,PROBE_BW_CRUISE,2,13,1778032028570
13,13,11819984,11819984,PROBE_BW_CRUISE,2,12,1778032029000
13,10,12641632,9804528,PROBE_BW_CRUISE,2,10,1778032030000
8,6,6796888,5177064,PROBE_BW_CRUISE,2,6,1778032031000
13,11,11314568,9544920,PROBE_BW_CRUISE,2,11,1778032032000
13,13,13372136,12966152,PROBE_BW_CRUISE,2,12,1778032033000
12,11,9133400,9133400,PROBE_BW_CRUISE,2,11,1778032034832
17,15,16663560,13703560,PROBE_BW_CRUISE,2,15,1778032035000
18,15,18017552,15517400,PROBE_BW_CRUISE,2,15,1778032036000
20,16,16136744,16136744,PROBE_BW_CRUISE,2,16,1778032037499
15,14,15308192,13521968,PROBE_BW_CRUISE,2,13,1778032038000
14,11,12662344,10181520,PROBE_BW_CRUISE,2,11,1778032039499
10,8,9035360,7459728,PROBE_BW_CRUISE,2,8,1778032040166
14,13,12079600,11469920,PROBE_BW_CRUISE,2,12,1778032041000
13,12,11878672,11603872,PROBE_BW_CRUISE,2,12,1778032042000
13,11,11410544,10963120,PROBE_BW_CRUISE,2,11,1778032043499
17,16,14730968,14316688,PROBE_BW_CRUISE,2,15,1778032044000
19,17,17692352,16006936,PROBE_BW_CRUISE,2,17,1778032045000
16,14,13727728,12514584,PROBE_BW_CRUISE,2,14,1778032046000
13,12,11525848,10473584,PROBE_BW_CRUISE,2,12,1778032047249
11,12,11536896,11527920,PROBE_BW_CRUISE,2,10,1778032048000
12,11,10789128,10672440,PROBE_BW_CRUISE,2,11,1778032049749
12,11,9765176,8703248,PROBE_BW_CRUISE,2,11,1778032050199
17,14,15792200,13493656,PROBE_BW_CRUISE,2,14,1778032051374
15,13,11564512,10319616,PROBE_BW_CRUISE,2,13,1778032052124
11,10,9405448,9405448,PROBE_BW_CRUISE,2,10,1778032053285
17,4,13501256,9492440,PROBE_RTT,2,4,1778032054199
18,15,16636632,14372616,PROBE_BW_CRUISE,2,15,1778032055444
16,15,14510016,14510016,PROBE_BW_CRUISE,2,14,1778032056570
15,12,14356048,11246208,PROBE_BW_CRUISE,2,12,1778032057000
14,11,11421592,10568176,PROBE_BW_CRUISE,2,11,1778032058249
17,14,15094144,12414472,PROBE_BW_CRUISE,2,14,1778032059570
17,13,15094144,12295712,PROBE_BW_CRUISE,2,13,1778032060000
17,15,14949840,14349832,PROBE_BW_CRUISE,2,15,1778032061000
11,9,10731816,7726248,PROBE_BW_CRUISE,2,9,1778032062000
15,12,11942888,10471512,PROBE_BW_CRUISE,2,12,1778032063000
11,12,12077528,10490160,PROBE_BW_CRUISE,2,10,1778032064166
8,6,6569032,5092144,PROBE_BW_CRUISE,2,6,1778032065499
11,10,9533872,9533872,PROBE_BW_CRUISE,2,10,1778032066249
13,11,13227832,10474968,PROBE_BW_CRUISE,2,11,1778032067000
14,11,13287216,10684176,PROBE_BW_CRUISE,2,11,1778032068000
17,14,15127976,13149120,PROBE_BW_CRUISE,2,14,1778032069000
14,12,14203456,11200640,PROBE_BW_CRUISE,2,12,1778032070000
12,10,10578536,9258376,PROBE_BW_CRUISE,2,10,1778032071000
13,11,12452448,10712488,PROBE_BW_CRUISE,2,11,1778032072428
17,15,12871552,12535992,PROBE_BW_CRUISE,2,15,1778032073499
15,12,13448088,12943360,PROBE_BW_CRUISE,2,12,1778032074000
13,11,11324928,9430304,PROBE_BW_CRUISE,2,11,1778032075713
12,10,9202448,8387016,PROBE_BW_CRUISE,2,10,1778032076000
